,keys,values
239,Rope,"['Melinda and Melinda', 'M', 'Vacancy', 'Double Indemnity', 'A Nightmare on Elm Street', 'Chain Reaction', 'Air Force One', 'American Ninja', 'Chinjeolhan geumjassi', 'Swingers', 'L.A. Confidential', 'Bad Boys', 'Mr. Brooks', 'A Shot in the Dark', 'In a Lonely Place', 'Kind Hearts and Coronets', 'The Big Sleep', 'Diva', 'Author! Author!', 'Rear Window', 'No Way Out', 'Ultimo tango a Parigi', 'Four Brothers', 'Swimming Pool', 'U.S. Marshals', 'À bout de souffle', 'Tom yum goong', 'The Player', 'Memento', 'See No Evil, Hear No Evil', 'Strangers on a Train', 'Hot Fuzz', 'Snow Falling on Cedars', 'The Number 23', 'Wait Until Dark', 'Body Heat', 'Kate & Leopold', 'Rope', 'Charade', 'Road to Perdition', 'In the Heat of the Night', 'The Constant Gardener', 'The Apartment', 'Dead Again', '12 Angry Men', 'Butterflies Are Free', 'Identity', 'Copycat', 'The Life of David Gale', 'The Odd Couple', 'The Maltese Falcon', ""The General's Daughter"", 'Just Like Heaven', 'Touch of Evil', 'Witness', 'The Spanish Prisoner', 'The Tragedy of Macbeth', 'The Mexican', 'Children of Men', 'Murder by Numbers', 'Desperately Seeking Susan', 'The Amityville Horror']"
240,Strangers on a Train,"['M', 'The Thomas Crown Affair', 'Vacancy', 'Double Indemnity', 'A Nightmare on Elm Street', 'Chain Reaction', 'Air Force One', 'American Ninja', 'Chinjeolhan geumjassi', 'L.A. Confidential', 'The Silence of the Lambs', 'Lat sau san taam', 'Bad Boys', 'Frequency', 'Mr. Brooks', 'A Shot in the Dark', 'In a Lonely Place', 'Kind Hearts and Coronets', 'The Big Sleep', 'Diva', 'Bullitt', 'No Way Out', 'Funny Games U.S.', 'Murder on the Orient Express', 'Passenger 57', 'Four Brothers', 'Swimming Pool', 'Nick of Time', 'U.S. Marshals', 'À bout de souffle', 'Insomnia', 'Chinatown', 'Memento', 'Ace Ventura: Pet Detective', 'Ging chat goo si 3: Chiu kup ging chat', 'See No Evil, Hear No Evil', 'Strangers on a Train', 'City by the Sea', 'Kiss the Girls', 'Hot Fuzz', 'Snow Falling on Cedars', 'The Number 23', 'Body Heat', 'Blade Runner', 'Yat goh hiu yan', 'Zero Effect', 'Kate & Leopold', 'Nattevagten', 'Rope', 'Charade', 'Road to Perdition', 'In the Heat of the Night', 'The Constant Gardener', 'Dead Again', '12 Angry Men', 'Fallen', 'Identity', 'Copycat', 'The Life of David Gale', 'The Maltese Falcon', ""The General's Daughter"", 'Touch of Evil', 'Angel Heart', 'The Spanish Prisoner', 'Drop Zone', 'Witness', 'The Dark Knight', 'Blue Streak', 'The Tragedy of Macbeth', 'Wimbledon', 'The Mexican', 'Murder by Numbers', 'The Savages', 'The Texas Chainsaw Massacre', 'Phone Booth', 'The Amityville Horror']"
241,Cube,"['Wordplay', 'Kiss the Girls', 'Labyrinth', ""One Flew Over the Cuckoo's Nest"", 'Titan A.E.', 'Freaks', 'Cube Zero', 'Sleeping with the Enemy', 'The Shining', 'Nothing But Trouble', 'Cool Hand Luke', 'Con Air', 'Escape from L.A.', 'Saw II', 'The Great Escape', 'El laberinto del fauno', 'Cube', 'Shogun Assassin']"
242,Say Anything...,"['American Graffiti', 'Pretty in Pink', ""Ocean's Twelve"", 'Star Trek VI: The Undiscovered Country', 'The Princess Diaries', 'The Ballad of Jack and Rose', 'Coach Carter', 'Tonari no Totoro', 'When a Stranger Calls', 'Cry-Baby', ""Can't Hardly Wait"", 'Danny Deckchair', 'Father of the Bride', 'Say Anything...', 'Waking the Dead', 'The Juror', '10 Things I Hate About You', 'In & Out', 'Waking Ned', 'I Am Sam', 'Thumbsucker', 'Rocket Science', 'Dirty Dancing', ""The 'burbs"", 'Pump Up the Volume', 'Fright Night', 'Elephant', 'The Weather Man', '50 First Dates', 'Mean Creek', 'Mortal Kombat', 'Freaks', 'Risky Business', 'Napoleon Dynamite']"
243,Ils,"['The Day the Earth Stood Still', 'Sin City', 'Tenkû no shiro Rapyuta', 'Fools Rush In', 'Ils']"
244,The Thing,"['The Birds', 'Nell', 'The Truman Show', 'After Hours', 'The Thing', 'The Abyss', 'Dead Ringers', 'Galaxy Quest', ""Rosemary's Baby"", 'The Conversation', 'The Machinist', 'X2', 'And Then There Were None', 'The Amityville Horror']"
245,The Player,"['All the Right Moves', 'Shallow Grave', 'Die Fälscher', 'The Grudge', 'Mrs Brown', 'Swingers', 'Trainspotting', 'Walk on Water', 'Crocodile Dundee in Los Angeles', 'Jackass Number Two', 'The Purple Rose of Cairo', 'Tom yum goong', 'Swimming with Sharks', 'The Player', 'Titus', 'The Boys in the Band', '8MM', '28 Days Later...', 'Rope', 'Ken Park', 'The Talented Mr. Ripley', 'Mr. & Mrs. Smith', 'Barton Fink', 'Super Troopers', 'Children of Men']"
246,Stardust Memories,"['Honey, I Shrunk the Kids', 'Love and Death', 'Across the Universe', 'Fire in the Sky', 'Plan 9 from Outer Space', 'Cloverfield', 'Accepted', 'State and Main', 'Nothing to Lose', 'Manhattan', ""Ulee's Gold"", 'Cocoon', 'The Man Who Fell to Earth', 'The Prize Winner of Defiance, Ohio', 'Grosse Pointe Blank', 'Village of the Damned', 'Author! Author!', 'Alien Nation', 'Gojira ni-sen mireniamu', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Alien', 'Nick of Time', 'Men in Black', 'Lost in Space', 'Superman III', 'Stardust Memories', 'Jimmy Neutron: Boy Genius', 'Aliens', 'Matchstick Men', 'Species', 'Lilo & Stitch', 'Muppets from Space', 'The Fifth Element', 'Repo Man', 'Sleeper', 'Alien³', 'Runaway Bride', 'Six-String Samurai', '*batteries not included', 'War of the Worlds', 'Howard the Duck', 'They Live', 'Star Trek: The Motion Picture', 'The Adventures of Buckaroo Banzai Across the 8th Dimension', 'Trekkies', 'E.T.: The Extra-Terrestrial', 'Very Bad Things', 'K-PAX', 'Norbit', 'Titan A.E.', 'People I Know', 'The First Wives Club', 'AVP: Alien vs. Predator', 'Galaxy Quest', 'The Trollenberg Terror', 'Movie Crazy', 'Dark Star', 'Be Kind Rewind', 'Close Encounters of the Third Kind', 'Chicken Little', 'Slither', 'The X Files', 'Starman', 'What Planet Are You From?']"
247,Edward Scissorhands,"['Hudson Hawk', 'Stay', 'Sånger från andra våningen', 'L.A. Story', 'Police Academy', 'Scrooged', 'Videodrome', 'Mulholland Dr.', 'Edward Scissorhands', 'El ángel exterminador', 'Eraserhead', 'Life as a House', 'Lost Highway', 'Ed Wood', 'Major Payne', 'Donnie Darko', 'Stripes']"
248,Antz,"['Gwoemul', 'Godzilla, King of the Monsters!', 'Apollo 13', 'Ruthless People', 'Executive Decision', 'Kung Pow: Enter the Fist', 'Terminator Salvation', 'Ace Ventura: When Nature Calls', 'Kurenai no buta', 'Kiss Kiss Bang Bang', 'The Guardian', 'Star Wars: Episode V - The Empire Strikes Back', 'Gone Baby Gone', 'Best Laid Plans', '3000 Miles to Graceland', 'George of the Jungle', 'Commando', 'Agent Cody Banks', 'Jimmy Neutron: Boy Genius', 'Austin Powers: International Man of Mystery', 'A Funny Thing Happened on the Way to the Forum', 'Io non ho paura', 'Kiss the Girls', 'One Hundred and One Dalmatians', 'The Jewel of the Nile', 'A Life Less Ordinary', 'Toys', 'The Golden Compass', 'Hellboy', 'Lethal Weapon 4', 'Man on Fire', 'Labyrinth', 'Saving Silverman', 'Antz', 'Ging chaat goo si 4: Ji gaan daan yam mo', 'Spartan', ""A Bug's Life"", 'Transformers', 'Mystic River', ""The Making of 'Along Came a Spider'"", 'Beneath the Planet of the Apes', 'Thunderbirds', 'Starman']"
249,The Producers,"['The Last Waltz', 'The Gold Rush', 'A Night at the Opera', 'Maya Lin: A Strong Clear Vision', 'The Producers', 'Smoke Signals', 'The General', 'The Grapes of Wrath', 'All About Eve', 'How the West Was Won', 'Stand and Deliver', 'The Muppet Movie']"
250,Practical Magic,"['Stardust', 'The Importance of Being Earnest', 'Reality Bites', 'Meet Me in St. Louis', 'Ladyhawke', 'The Witches', 'Noel', 'The Thing Called Love', 'Moonstruck', 'Mission to Mars', 'Como agua para chocolate', 'The Notebook', 'Untamed Heart', 'Romeo + Juliet', 'Breaking the Waves', 'Bedknobs and Broomsticks', 'Harry Potter and the Chamber of Secrets', 'Legend', 'White Palace', 'Ghost', 'Mononoke-hime', 'Love Actually', 'The Fountain', 'Abre los ojos', 'The Butterfly Effect', 'Majo no takkyûbin', 'Hauru no ugoku shiro', 'Benny & Joon', 'Meet Joe Black', 'Indecent Proposal', 'Othello', 'Punch-Drunk Love', 'La jetée', 'Il postino', 'Win a Date with Tad Hamilton!', 'Ella Enchanted', 'The Wiz', 'An American Werewolf in Paris', 'Practical Magic', 'Witness', 'Secrets & Lies', 'August Rush', 'The Wizard of Oz', 'Keeping the Faith', 'Sien nui yau wan', 'The Craft', 'Splash', 'Bottle Rocket']"
251,Pleasantville,"['South Park: Bigger Longer & Uncut', 'Demolition Man', 'Driving Miss Daisy', 'Far from Heaven', 'Dirty Dancing: Havana Nights', 'School Ties', 'Pleasantville', 'L.A. Confidential', 'The Iron Giant', 'Vertigo', 'The Godfather: Part II', 'Quiz Show', 'Cry-Baby', 'Mitt liv som hund', 'Guilty by Suspicion', 'Diner', 'Stand by Me', '8 femmes', 'The Last Emperor', 'Good Morning, Vietnam', 'Les misérables', 'Great Balls of Fire!', 'The Last Picture Show', 'Hiroshima mon amour', 'Star Wars', 'Inventing the Abbotts', ""This Boy's Life"", 'West Side Story']"
252,La vita è bella,"['Letters from Iwo Jima', 'To Be or Not to Be', 'Fiddler on the Roof', 'Richard III', 'The Young Lions', 'Lenny', 'Europa', 'The Pianist', 'Stalag 17', 'Die Blechtrommel', 'Enigma', 'La vita è bella', 'Europa Europa', 'The Longest Day', 'Catch-22', 'Operation Crossbow', 'Pearl Harbor', 'Hope and Glory', 'Where Eagles Dare', 'The Dirty Dozen', 'Everything Is Illuminated', 'Battle of Britain', 'Tank Girl', 'Atonement', ""Schindler's List"", 'The Great Escape', 'Cabaret', 'U-571', 'Destination Tokyo', 'Der Untergang', 'Empire of the Sun', 'Saving Private Ryan']"
253,Gods and Monsters,"['Velvet Goldmine', 'Collateral', 'Saved!', 'Love and Death on Long Island', 'Bedazzled', 'Capote', 'Total Eclipse', 'Housekeeping', 'The Boondock Saints', 'Boat Trip', 'Crocodile Dundee in Los Angeles', 'Clueless', 'Falling Down', 'Brokeback Mountain', 'Gods and Monsters', 'Death to Smoochy', 'Withnail & I', 'Little Miss Sunshine', ""Billy's Hollywood Screen Kiss"", 'Biloxi Blues', 'This Film Is Not Yet Rated', 'Bean', 'Wonder Boys', 'The Boys in the Band', 'Die Hard', 'Four Weddings and a Funeral', 'Kinsey', 'Playing by Heart', 'The Talented Mr. Ripley', 'Breakfast on Pluto', 'Liar Liar', 'The Last Waltz', 'The Celluloid Closet', 'Mr. & Mrs. Smith', 'All Over the Guy', 'Beverly Hills Cop III', 'Remember the Titans']"
254,The Stepford Wives,"['The Age of Innocence', 'Jack Frost', 'Mystic Pizza', 'White Noise', 'The Grudge', 'Shall we dansu?', 'Duel', 'Squirm', 'The Out-of-Towners', 'Beethoven', 'Ruthless People', 'Breaking the Waves', 'Blue Velvet', 'When a Man Loves a Woman', 'The Good Girl', 'Sommersby', 'The Iron Giant', 'Arachnophobia', 'Sling Blade', 'Village of the Damned', 'Author! Author!', 'Sleeping with the Enemy', 'Blow Dry', 'The Addams Family', 'Gremlins', 'Addams Family Values', 'Varsity Blues', ""It's a Wonderful Life"", 'Father of the Bride', 'American Splendor', 'My Blue Heaven', 'Footloose', 'The One', 'Troop Beverly Hills', 'Mighty Aphrodite', 'In the Heat of the Night', 'Waitress', 'High Plains Drifter', 'Sex, Lies, and Videotape', 'Adventures in Babysitting', 'The Story of Us', ""The Devil's Own"", 'Silverado', 'Multiplicity', 'Meet the Parents', 'The Stepford Wives', 'My Cousin Vinny', 'Mystery, Alaska', 'Fucking Åmål', 'Rebecca', ""What's Eating Gilbert Grape"", 'Slither', 'To Kill a Mockingbird', 'What Planet Are You From?']"
255,Waking Ned,"['2 Fast 2 Furious', 'The Art of War', 'American Graffiti', 'Down and Out in Beverly Hills', 'Mortal Kombat', 'De zaak Alzheimer', 'Herbie Goes Bananas', 'Junior', 'Danny Deckchair', 'Waking Ned', 'Cars', 'Rocket Science', 'Mrs. Doubtfire', 'The Love Bug', 'Spanglish', ""It's a Mad Mad Mad Mad World"", 'Say Anything...', 'Mr. Deeds']"
256,Festen,"['The Secret Life of Words', 'Videodrome', 'The Hudsucker Proxy', 'The Hours', 'Volver', 'Scream 2', 'Dead Poets Society', 'House of Sand and Fog', 'Romeo + Juliet', 'The Prince of Tides', 'Seppuku', 'Girl, Interrupted', 'Manon des sources', 'Nell', 'What Dreams May Come', 'Jisatsu sâkuru', 'Der Himmel über Berlin', 'Pump Up the Volume', 'Penelope', 'Der Untergang', 'The Virgin Suicides', 'Festen', 'Freaky Friday', 'Rebecca']"
257,Very Bad Things,"['South Park: Bigger Longer & Uncut', 'Shallow Grave', 'Hung fan kui', ""Jeux d'enfants"", 'Nothing to Lose', 'The Original Kings of Comedy', 'Fun with Dick and Jane', 'Author! Author!', ""Jumpin' Jack Flash"", 'The Myth of Fingerprints', 'Stardust Memories', 'I Heart Huckabees', 'El ángel exterminador', 'Yat goh hiu yan', 'Runaway Bride', 'Beavis and Butt-Head Do America', 'Lock, Stock and Two Smoking Barrels', 'Jackie Brown', 'Very Bad Things', ""Roseanna's Grave"", 'The First Wives Club', 'Imaginary Heroes', 'Mars Attacks!', 'Barton Fink', 'Death at a Funeral', 'Fargo', 'The Chumscrubber']"
258,Little Voice,"['Simon', 'Ray', 'Charlotte Gray', 'The Phantom of the Opera', 'Elling', 'Johnny English', 'Mr. Deeds', 'Mickey Blue Eyes', 'THX 1138', 'Michael Clayton', 'Radio', 'Zoolander', 'Beyond the Sea', 'Lars and the Real Girl', 'Alex & Emma', 'Nell', 'Harold & Kumar Go to White Castle', 'Antwone Fisher', 'Antonia', 'Great Expectations', 'Broadway Danny Rose', 'Roger Dodger', 'Be Cool', 'Norbit', 'Little Voice', 'Gentlemen Prefer Blondes', 'Star Wreck: In the Pirkinning', 'Ned Kelly']"
259,Rushmore,"['Roxanne', 'Dreamscape', 'Running on Empty', 'Mean Girls', 'Walkabout', 'School Ties', 'Manhattan', 'Riding in Cars with Boys', 'The Man Without a Face', 'The Truth About Cats & Dogs', 'Nuovo Cinema Paradiso', 'P.S.', 'Sister Act', ""Can't Hardly Wait"", 'Mitt liv som hund', 'Papurika', 'Smultronstället', 'Bom yeoreum gaeul gyeoul geurigo bom', ""My Best Friend's Wedding"", 'Lucas', 'Sunset Blvd.', 'A Bronx Tale', 'Ginger Snaps', 'Moulin Rouge!', 'Varsity Blues', 'A Nightmare on Elm Street 3: Dream Warriors', 'First Knight', 'The Yearling', 'Stand by Me', 'Biloxi Blues', 'Les quatre cents coups', 'Amadeus', ""Bridget Jones's Diary"", 'La science des rêves', 'MirrorMask', '25th Hour', 'Imagine Me & You', 'Casablanca', 'Othello', 'Dirty Dancing', 'Mermaids', ""America's Sweethearts"", 'A Guide to Recognizing Your Saints', 'Ghost World', 'City of Angels', 'Bull Durham', 'A Little Romance', ""Don't Tell Mom the Babysitter's Dead"", 'The Dream Catcher', 'Raging Bull', 'The Searchers', 'Sky High', 'Waking Life', 'Vanilla Sky', 'Rushmore', 'Brazil', 'Keeping the Faith', 'A River Runs Through It', 'The Philadelphia Story', 'Closer']"
260,Shakespeare in Love,"['Le retour de Martin Guerre', 'Bringing Down the House', 'Elizabeth', 'Kagemusha', 'Ever After', 'The Road to El Dorado', 'Shichinin no samurai', 'Charade', 'Shakespeare in Love', 'Sommersby']"
261,Rambo: First Blood Part II,"[""Pee-wee's Big Adventure"", 'Vacation', 'Evil Dead II', 'Tango & Cash', 'The Witches of Eastwick', 'My Big Fat Greek Wedding', 'First Blood', ""Who's That Girl"", 'Blind Fury', 'Saw III', 'Miracle', 'Maverick', 'Das Leben der Anderen', 'Rambo', 'Transporter 2', 'A Shot in the Dark', 'Harry Potter and the Chamber of Secrets', 'Rambo III', 'Hellraiser: Bloodline', 'Hot Shots! Part Deux', 'Nine to Five', 'Before Sunset', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Gremlins', 'Made in America', 'Police Academy 6: City Under Siege', 'The Legend of Zorro', 'Bad Boys II', 'The Naked Gun 2½: The Smell of Fear', 'Camp', 'American Splendor', 'Ging chat goo si 3: Chiu kup ging chat', 'Go', 'Broadcast News', 'Manon des sources', 'Shrek 2', 'Big Trouble in Little China', 'Godzilla', 'Maya Lin: A Strong Clear Vision', 'Jaws: The Revenge', 'Never Been Kissed', 'The Wedding Singer', 'Highlander III: The Sorcerer', 'Christmas Vacation', 'Rocky III', 'Koneko monogatari', 'Salinui chueok', 'Lara Croft Tomb Raider: The Cradle of Life', 'The Gods Must Be Crazy II', 'Howard the Duck', ""City Slickers II: The Legend of Curly's Gold"", 'Kung Fu Panda', 'Kung fu', ""Look Who's Talking Too"", 'The Blues Brothers', 'Secrets & Lies', 'Rambo: First Blood Part II', 'Duo luo tian shi', 'Risky Business', 'In America', 'The Karate Kid, Part III', 'When Harry Met Sally...', 'Children of a Lesser God', 'Superman II', 'The Deer Hunter', 'Rocky V', 'Rules of Engagement', 'Bride of Frankenstein']"
262,Romancing the Stone,"['Treasure Island', 'The Goonies', 'Saving Private Ryan', 'Mission to Mars', 'Clear and Present Danger', 'Rambo', 'Romancing the Stone', 'Aliens']"
263,The Karate Kid,"['Elektra', 'Teenage Mutant Ninja Turtles', 'The Man with the Golden Gun', 'Kung Pow: Enter the Fist', 'Jumanji', 'Bloodsport', 'Dragon: The Bruce Lee Story', 'Siu lam juk kau', 'Ong-bak', 'Six-String Samurai', 'The Mother', 'Lethal Weapon 4', 'American Ninja 3: Blood Hunt', 'The Karate Kid', 'Dune', 'Wo hu cang long', 'Le salaire de la peur', 'Matador', 'Huo Yuan Jia']"
264,The Thin Red Line,"['Apocalypse Now', 'Richard III', 'Henry V', 'Duel', 'Proof of Life', 'Ran', 'Army of Darkness', 'The Mosquito Coast', 'King Kong', 'The Thin Red Line', 'George of the Jungle', '300', 'The 13th Warrior', 'The Lord of the Rings: The Return of the King', 'Anaconda', 'We Were Soldiers', 'The Rundown', 'The Jungle Book', 'Predator', 'Pokémon: The First Movie', 'Fitzcarraldo', 'The Road to El Dorado', 'Shichinin no samurai']"
265,Hurlyburly,"['Human Traffic', 'Velvet Goldmine', ""Grandma's Boy"", 'War of the Buttons', 'Shallow Grave', 'Mrs Brown', 'Total Eclipse', 'Housekeeping', 'Trainspotting', 'The Blue Lagoon', 'BASEketball', 'Hurlyburly', 'The Da Vinci Code', '2 Days in Paris', 'Forgetting Sarah Marshall', 'A Simple Plan', 'The Long Good Friday', 'Titus', 'Alex & Emma', ""A Knight's Tale"", 'Transamerica', 'The Woodsman', 'Gallipoli', 'Kinsey', 'Dogville', 'Lethal Weapon', 'The Weather Man', 'Agnes of God', 'In the Name of the Father', 'Mystery, Alaska', 'Angel Heart', 'Matador', 'Steel Magnolias', 'Boyz n the Hood', ""Angela's Ashes"", 'The Quiet Earth']"
266,The Fly,"['Jackie Brown', 'View from the Top', 'The Count of Monte Cristo', 'Harold & Kumar Go to White Castle', 'The Fly', 'Duma', 'The United States of Leland', 'Flightplan', 'Sans soleil', 'The First $20 Million Is Always the Hardest', 'P.S. I Love You', 'Tom yum goong', 'Planet of the Apes']"
267,Office Space,"['WarGames', 'TRON', 'The Net', 'Sneakers', ""Jumpin' Jack Flash"", '2001: A Space Odyssey', 'Glengarry Glen Ross', 'Revolution OS', 'In the Company of Men', 'The First $20 Million Is Always the Hardest', 'Colossus: The Forbin Project', 'The Peacemaker', 'Dark Water', 'Hackers', 'Westworld', 'Office Space']"
268,Westworld,"['Vacation', 'WarGames', 'Enemy Mine', 'Revolution OS', 'The First $20 Million Is Always the Hardest', 'Colossus: The Forbin Project', 'Westworld', 'Les vacances de Monsieur Hulot', 'Terminator 2: Judgment Day', '2 Days in Paris', ""Jumpin' Jack Flash"", 'Sneakers', 'RV', 'Gattaca', 'The Fifth Element', 'Hackers', 'Under the Tuscan Sun', 'The Sisterhood of the Traveling Pants', 'Office Space', 'Back to the Future', 'Silverado', 'TRON', 'McCabe & Mrs. Miller', 'The Net', '2001: A Space Odyssey', 'Escape from the Planet of the Apes', 'The Peacemaker', 'European Vacation']"
269,Logan's Run,"['Garfield: A Tail of Two Kitties', 'Running on Empty', 'Garden State', 'Hellboy II: The Golden Army', 'Uncle Buck', 'Homeward Bound: The Incredible Journey', 'The AristoCats', 'While You Were Sleeping', 'U.S. Marshals', 'À bout de souffle', ""Logan's Run"", 'Austin Powers: International Man of Mystery', 'Majo no takkyûbin', 'Cool Hand Luke', 'Diamonds Are Forever', 'Prime', 'Star Trek: Generations', 'Hiroshima mon amour', 'North by Northwest', 'The Chronicles of Riddick', ""Cat's Eye"", 'Duo luo tian shi', 'Bio-Dome']"
270,Planet of the Apes,"['The Chronicles of Riddick', 'The Fly', 'Escape from the Planet of the Apes', 'Conquest of the Planet of the Apes', 'Beneath the Planet of the Apes', 'Planet of the Apes']"
271,Beneath the Planet of the Apes,"[""The Astronaut's Wife"", 'Gwoemul', 'Event Horizon', 'Mission to Mars', 'Apollo 13', 'Men with Brooms', 'Executive Decision', 'The Guardian', 'The Right Stuff', 'For All Mankind', 'Star Wars: Episode V - The Empire Strikes Back', 'Commando', 'Star Trek III: The Search for Spock', 'Jimmy Neutron: Boy Genius', 'One Hundred and One Dalmatians', 'In & Out', 'Conquest of the Planet of the Apes', 'Moonraker', 'Planet of the Apes', 'Labyrinth', 'K-PAX', 'Antz', 'Sunshine', 'Escape from the Planet of the Apes', 'Space Cowboys', 'Armageddon', 'Beneath the Planet of the Apes', 'Thunderbirds']"
